Yum!| NULL| positive
Finally, my wife stood face to face in front of one of the staff and she asked, &quot;Are you waiting for a table?&quot;| staff| negative
Once seated it took about 30 minutes to finally get the meal.| NULL| negative
The prior reviews said Kid friendly... give me a break with two young children that is light years.| NULL| negative
The Caesar salad I ordered had so much lemon I couldn&apos;t eat it.| Caesar salad| negative
The pizza was slightly reminescent of Baker&apos;s Beach pizza which occupied the the space years ago (a distant second).| NULL| NULL
It was decent but nothing exceptional.| NULL| neutral
This establishment is consistent with my feelings of the rest of Chow Foods group.| NULL| NULL
We used to frequent most of their restaurants but over the years each one has really been disapointing.| NULL| NULL
I&apos;m a born and bred Southend resident and was excited to hear of this restaurant opening.| NULL| NULL
Well, I guess maybe it might be beneficial for the management  to pay a visit to Tutta Bella in Columbia City for some tips.| NULL| NULL
Great food, better Margaritas!| food| positive
Great food, better Margaritas!| Margaritas| positive
– This is one of my top lunch spots, huge portions, fast service and amazing margaritas!!| NULL| positive
– This is one of my top lunch spots, huge portions, fast service and amazing margaritas!!| portions| positive
– This is one of my top lunch spots, huge portions, fast service and amazing margaritas!!| service| positive
– This is one of my top lunch spots, huge portions, fast service and amazing margaritas!!| margaritas| positive
it gets really busy, so get there on the early side so you can grab a seat, if you do have to wait, its not bad because the service is quick!| service| positive
Check out the art on the walls, very colorful!| art on the walls| positive
i love this place!| place| positive
– i have been eating at this place for over 8 years now and i have never had one bad meal.| meal| positive
i highly recommend this place to all that want to try indain food for the first time.| indain food| positive
The lunch menu is an awesome deal!| lunch menu| positive
plenty of food,trust me .| food| positive
Fresh ingrediants and super tasty.| ingrediants| positive
Fresh ingrediants and super tasty.| NULL| positive
The place is the next best thing to my Moms cooking.| NULL| positive
Best food, phenominal service | food| positive
Best food, phenominal service | service| positive
For the finicky sushi eater and those who have sampled the best NYC has to offer, the fish is the freshest and the service is superb.| fish| positive
For the finicky sushi eater and those who have sampled the best NYC has to offer, the fish is the freshest and the service is superb.| service| positive
Not only can the selection be innovative, but there&apos;s a nice balance of traditional sushi as well.| selection| positive
Not only can the selection be innovative, but there&apos;s a nice balance of traditional sushi as well.| sushi| positive
The nicest waiters in town.| waiters| positive
WAY OVER-RATED!!!!| NULL| negative
– This place is unbelievably over-rated.| place| negative
If I want to stand in line on Sunday for an hour to get average brunch food, then I would put Murphy&apos;s at the top of the list.| brunch food| neutral
If I want to stand in line on Sunday for an hour to get average brunch food, then I would put Murphy&apos;s at the top of the list.| NULL| negative
The regular menu here is slightly above average that is not worth the snotty attitude that you receive.| regular menu| neutral
The regular menu here is slightly above average that is not worth the snotty attitude that you receive.| NULL| negative
10!| NULL| positive
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.| sushi| positive
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.| fish| positive
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.| sake| positive
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.| SOHO location| positive
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.| Salmon| positive
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.| Tuna| positive
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.| Fluke| positive
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.| Yellow Tail| positive
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.| Cod| positive
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.| Mackeral| positive
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.| Jellyfish| positive
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.| Sea Urchin| positive
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.| Shrimp| positive
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.| Lobster| positive
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.| Sea Bream| positive
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.| Trout| positive
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.| Milk Fish| positive
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.| Blue Fin Tuna| positive
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.| Eel| positive
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.| Crab| positive
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.| Sardine| positive
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.| Monk Fish| positive
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.| Roe| positive
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.| Scallop| positive
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.| Oysters| positive
Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.| Toro| positive
There is only one place on the east coast that has it all, plus a lot more.| place| positive
Better than nobu, tomoe, taka, yama, sugiyama, and the rest.| NULL| NULL
Bring your cell phone cause you may have to wait to get into the best sushi restaurant in the world: BLUE RIBBON SUSHI.| BLUE RIBBON SUSHI| positive
Believe it baby!| NULL| NULL
Cut to the chase - this is amazing!| NULL| positive
It&apos;s unpretentious and underground.| NULL| positive
It&apos;s fresh, welcoming, delicious, and relaxing.| NULL| positive
It&apos;s fresh, welcoming, delicious, and relaxing.| NULL| positive
Hands down, the best tuna I have ever had.| tuna| positive
Blue Ribbon lives up to it&apos;s fantastic reputation.| Blue Ribbon| positive
I went here on a recommendation and will surely return time and time again.| NULL| positive
What a find!| NULL| positive
Well worth it | NULL| positive
Great value sushi with high quality &amp; nice setting.| sushi| positive
Great value sushi with high quality &amp; nice setting.| sushi| positive
Great value sushi with high quality &amp; nice setting.| setting| positive
Good for late night dining (last minute planning) without reservations.| NULL| positive
Try the Chef&apos;s Choice for sushi as the smoked yellowtail was incredible and the rolls were also tasty.| rolls| positive
Try the Chef&apos;s Choice for sushi as the smoked yellowtail was incredible and the rolls were also tasty.| smoked yellowtail| positive
Try the Chef&apos;s Choice for sushi as the smoked yellowtail was incredible and the rolls were also tasty.| Chef&apos;s Choice for sushi| positive
Poor customer service/poor pizza.| customer service| negative
Poor customer service/poor pizza.| pizza| negative
– As with most restaurants in Seattle, Mioposto&apos;s service was bad and the food was overpriced.| service| negative
– As with most restaurants in Seattle, Mioposto&apos;s service was bad and the food was overpriced.| food| negative
I know many people have their favorite types of pizza and pizza places, but Mioposto&apos;s pizza lacks quality and good taste.| pizza| negative
To be honest, I&apos;ve had better frozen pizza.| pizza| negative
I&apos;m not kidding.| NULL| NULL
The only positive thing about Mioposto is the nice location.| location| positive
The only positive thing about Mioposto is the nice location.| Mioposto| negative
Love it every time | NULL| positive
I was frankly shocked when I read the bad reviews - this place is fantastic; it has not let us down in any way, and we&apos;ve eaten here more than 10 times.| place| positive
People complain about the dim lighting, but that is one what I love about this place - if you want to stare at your food in bright light, go to McDonalds.| NULL| NULL
The food is fantastic, and the waiting staff has been perfect every single time we&apos;ve been there.| food| positive
The food is fantastic, and the waiting staff has been perfect every single time we&apos;ve been there.| waiting staff| positive
The only problem would be the wait, but we usually just have a drink in the front while waiting.| wait| neutral
Never had one single problem there.| NULL| positive
Seafood Plus| Seafood| positive
– This was  great dining experience.| NULL| positive
If you&apos;re going to see Danny Gans or just staying at the Mirage, don&apos;t miss this one.| NULL| positive
The appetizer of oysters, lobster, crab (small size) made a perfect entre for my wife.| appetizer of oysters, lobster, crab (small size)| positive
Seabass on lobster risotto was the best.| Seabass on lobster risotto| positive
Caesar salad was superb.| Caesar salad| positive
Great bottle of wine.| bottle of wine| positive
Leave room for dessert.| dessert| positive
COMPLETELY OVER RATED!| NULL| negative
I will have to do more research before checking out new places based on Diners, drive-ins and dives reviews.| NULL| NULL
I noice most reviews mention the bad service.| NULL| NULL
The food was ok, but the service was so poor that the food was cold buy the time everyone in my party was served.| food| neutral
The food was ok, but the service was so poor that the food was cold buy the time everyone in my party was served.| service| negative
Even then, the order was not correct and we were still waiting for a couple items.| NULL| negative
We had a very hard time getting the waitress&apos; attention and finally had to get up and go inside to speak to a manager.| waitress| negative
As it turns out the owner was seated right next to us and when he came over to check on our problems was very dismissive and offered a token 20% discount on our bill.| owner| negative
When the bill came, he only took the discount off the food and not the drinks.| NULL| negative
It was clear he didn’t really care.| NULL| negative
With so many great breakfast/lunch places in So Cal, this one is not worth the wait or any extra effort to visit.| NULL| NULL
AVOID THE PLACE| PLACE| negative
– Save yourself the waste of time &amp; DO NOT visit.| NULL| negative
I made my 1st trip to the restaurant after finding their webpage online.| NULL| NULL
When I got there I sat up stairs where the atmosphere was cozy &amp; the service was horrible!| atmosphere| positive
When I got there I sat up stairs where the atmosphere was cozy &amp; the service was horrible!| service| negative
I waited for 10-15 minutes for service ordered a beer &amp; was never served again.| service| negative
After sitting there with my empty glass for over 20 minutes I left.| NULL| negative
I went home &amp; looked them up online again where I discovered there is a link for a give away that doesn&apos;t work so emailed the restaurant about the non existent service &amp; deceptive link.| restaurant| negative
I never heard back from anyone more than a month ago.| NULL| negative
After telling my friend about the situation he said lets try again but we will visit the lower bar.| NULL| NULL
After sitting at the bar for over 20 minutes the bar keep had made only 2 drinks &amp; kept telling us she&apos;d be right with us.| bar keep| negative
We left without ever getting service.| service| negative
As of writing this I just tried their give away a link again &amp; it still doesn&apos;t work.| NULL| negative
There are so many better places to visit!| NULL| NULL
Best Crab Cakes in Town| Crab Cakes| positive
– Thats a big statement considering I&apos;ve been pulling crab traps and making the cakes myself since I was about seven - but something about these little devils gets better every time.| cakes| positive
If you can, come to this place by boat and make it a whole evening.| place| positive
Great seasonal fish and seafood, with a classy waterfront setting.| seasonal fish| positive
Great seasonal fish and seafood, with a classy waterfront setting.| seafood| positive
Great seasonal fish and seafood, with a classy waterfront setting.| waterfront setting| positive
Always a winner.| NULL| positive
Great Pizza, Poor Service| Pizza| positive
Great Pizza, Poor Service| Service| negative
– Love their pizza, especially the mushroom pizza.| pizza| positive
– Love their pizza, especially the mushroom pizza.| mushroom pizza| positive
Also love their caeser salad.| caeser salad| positive
Prefer to order it and pick it up though because I don&apos;t like the servers, one young woman in particular.| servers| negative
Prefer to order it and pick it up though because I don&apos;t like the servers, one young woman in particular.| young woman| negative
She doesn&apos;t make you feel welcome and treats you like an annoyance.| NULL| negative
But she is very friendly with certain people, making it even more annoying.| NULL| negative
Management should really take notice and train their waitstaff and teach them some proper manners.| waitstaff| negative
Management should really take notice and train their waitstaff and teach them some proper manners.| Management| negative
Many people talk about the great pizza and poor service, so it can&apos;t just be the rantings of a few dissatisfied customers.| pizza| positive
Many people talk about the great pizza and poor service, so it can&apos;t just be the rantings of a few dissatisfied customers.| service| negative
It&apos;s a great little place with tons of potential to be a neighborhood joint if the service weren&apos;t so impersonal and corporate-like.| place| positive
It&apos;s a great little place with tons of potential to be a neighborhood joint if the service weren&apos;t so impersonal and corporate-like.| service| negative
Great Breakfast| Breakfast| positive
– This place is famous for their breakfast.| breakfast| positive
They have been featured on the food network and they deserve it.| NULL| positive
The food is great and they make a mean bloody mary.| food| positive
The food is great and they make a mean bloody mary.| bloody mary| positive
I love breakfast here.| breakfast| positive
Their crab eggs benedict is addicting.| crab eggs benedict| positive
All their menu items are a hit, and they serve mimosas.| menu items| positive
All their menu items are a hit, and they serve mimosas.| NULL| positive
Doesn&apos;t get any better than that.| NULL| positive
best chinese food i have tasted in a long time| chinese food| positive
– we got a groupon for pagoda and decided to try it on a thursday night.| NULL| NULL
there was a guy playing the piano and singing at the bar area which was separate from the dinning area.| NULL| NULL
You can easily hear him though so it was a pleasant sound and not overbearing.| NULL| positive
the ambiance of the restaurant was nice and good for fine dinning.| ambiance| positive
not too fine thought that you feel uncomfortable and have to dress up.| NULL| positive
the staff was very nice and courteous and obviously chinese.| staff| positive
we ordered the honey walnut prawns which we always order at every chinese restaurant to determine the quality of food.| NULL| NULL
First off, the food came fast and all together :) i like that... i hate the pretentiousness of things coming in one after the other.| NULL| positive
so about the prawns, they were fresh and had a slight crispiness about the batter... soooo good... the walnuts were cut in smaller pieces and very crunchy and tasty.| prawns| positive
so about the prawns, they were fresh and had a slight crispiness about the batter... soooo good... the walnuts were cut in smaller pieces and very crunchy and tasty.| batter| positive
so about the prawns, they were fresh and had a slight crispiness about the batter... soooo good... the walnuts were cut in smaller pieces and very crunchy and tasty.| walnuts| positive
yummy.| NULL| positive
best honey walnyt prawns that we have every tasted.| honey walnyt prawns| positive
next one that we ordered were prawns and scallop with brocolli.| NULL| NULL
the brocollis were so fresh and tasty.| brocollis| positive
i would normally not finish the brocolli when i order these kinds of food but for the first time, every piece was as eventful as the first one... the scallops and prawns was so fresh and nicely cooked.| scallops| positive
i would normally not finish the brocolli when i order these kinds of food but for the first time, every piece was as eventful as the first one... the scallops and prawns was so fresh and nicely cooked.| prawns| positive
i would normally not finish the brocolli when i order these kinds of food but for the first time, every piece was as eventful as the first one... the scallops and prawns was so fresh and nicely cooked.| brocolli| positive
not chewy at all.| NULL| positive
for desert we had the mango ginger creme brulee... oh la la yummy!!!| mango ginger creme brulee| positive
melt in your mouth.| NULL| positive
we are for sure coming back to this restaurant.| restaurant| positive
every month if possible.| NULL| NULL
it is sad there is not many people who frequent eating at places like these that look pricey because they are at the hotel... but they are definitely one you dont want to miss, esp if your in downtown san jose.| NULL| positive
Chintzy portions| portions| negative
– The sushi here is perfectly good, but for $5 a piece, either the slices of fish should be larger, or there should be no pretense that this is a moderately priced restaurant (even for NYC).| sushi| positive
– The sushi here is perfectly good, but for $5 a piece, either the slices of fish should be larger, or there should be no pretense that this is a moderately priced restaurant (even for NYC).| restaurant| negative
– The sushi here is perfectly good, but for $5 a piece, either the slices of fish should be larger, or there should be no pretense that this is a moderately priced restaurant (even for NYC).| sushi| negative
– The sushi here is perfectly good, but for $5 a piece, either the slices of fish should be larger, or there should be no pretense that this is a moderately priced restaurant (even for NYC).| sushi| negative
We easily spent more than $40 per person (not including alcohol) and were still hungry.| NULL| negative
We easily spent more than $40 per person (not including alcohol) and were still hungry.| NULL| negative
I&apos;m astonished that this restaurant is categorized as $$$ rather than $$$$.| restaurant| negative
Terrible service, food ok, pricey| service| negative
Terrible service, food ok, pricey| food| neutral
Terrible service, food ok, pricey| NULL| negative
– This past weekend had great weather for San Francisco standards.| NULL| NULL
So for the &apos;after beach excursion&apos;, we thought we would end the day on a high note and make the trip across the street from the beach to Park Chalet.| NULL| NULL
The restaurant was busy, however there were a few tables open.| NULL| NULL
We put out name down and although there were open tables we were told that it&apos;d be a 30 minute wait.| NULL| negative
So here we are, my wife, 3 year old daughter and I trying to pass the time by hanging out in the front of the building (where the murals and artifacts are).| NULL| NULL
30 minutes went by and sure enough the pager buzzer went off.| NULL| NULL
We went back to the restaurant and low and behold, we were seated at one of the tables that was available 30 minutes ago!!| NULL| negative
Logic behind that?| NULL| NULL
None that I can think of.| NULL| negative
We put in our order and although we ordered 4 appetizers, the food didn&apos;t arrive until 45 minutes later...WITH OUR MAIN COURSE.| NULL| negative
Um so now what are appetizers for???| NULL| negative
Oh I forgot to mention that they don&apos;t have bread service.| NULL| negative
Its a good thing my daughter had some snacks in her lunch bag.| NULL| NULL
My wife also ordered a teapot of hot water (she had a sore throat) and I guess that since it was only water, it wasn&apos;t a priority for them to actually bring it.| NULL| negative
In other words, if they aren&apos;t making $$ off of you then you don&apos;t rate high on their &apos;service scale&apos;.| service| negative
Food wise, its ok but a bit pricey for what you get considering the restaurant isn&apos;t a fancy place.| Food| neutral
Food wise, its ok but a bit pricey for what you get considering the restaurant isn&apos;t a fancy place.| restaurant| negative
Food wise, its ok but a bit pricey for what you get considering the restaurant isn&apos;t a fancy place.| restaurant| neutral
The upside of the restaurant?| NULL| NULL
If I needed to name some they would include the location to the beach or Golden Gate park.| location| positive
Its great if you spent the day there and didn&apos;t want to drive to eat.| NULL| positive
Parking is reasonably good, they have their own lot and you can park in the park nearby.| NULL| positive
Another plus is the open feel of the restaurant with glass walls on all sides.| feel| positive
Another plus is the open feel of the restaurant with glass walls on all sides.| glass walls| positive
I&apos;d hate for tourists to go to Park Chalet and think that this is how all San Francisco restaurants are like.| NULL| NULL
Always good.| NULL| positive
– A sushi-fiend friend recently visited and our group of three just had to come for dinner.| NULL| NULL
6pm on a Sat before a Broadway play and we were quickly seated and served.| NULL| positive
Amazing Spanish Mackeral special appetizer and perfect box sushi (that eel with avodcao -- um um um).| Spanish Mackeral special appetizer| positive
Amazing Spanish Mackeral special appetizer and perfect box sushi (that eel with avodcao -- um um um).| box sushi| positive
Amazing Spanish Mackeral special appetizer and perfect box sushi (that eel with avodcao -- um um um).| eel with avodcao| positive
As usual the omikase didn&apos;t disappoint in freshness, although it scored low on creativity and selection.| omikase| positive
As usual the omikase didn&apos;t disappoint in freshness, although it scored low on creativity and selection.| omikase| negative
Their specialty rolls are impressive, though I can&apos;t remember what we had.| specialty rolls| positive
Great selection of sakes.| selection of sakes| positive
Green tea creme brulee gets better each time I have it.| Green tea creme brulee| positive
It isn&apos;t the cheapest sushi but has been worth it every time.| sushi| neutral
It isn&apos;t the cheapest sushi but has been worth it every time.| sushi| positive
Very poor customer service.| customer service| negative
– Schooner or Later&apos;s charming location along the marina in Long Beach and average food does not, unfortunately, compensate for its very poor customer service.| location along the marina in Long Beach| positive
– Schooner or Later&apos;s charming location along the marina in Long Beach and average food does not, unfortunately, compensate for its very poor customer service.| food| neutral
– Schooner or Later&apos;s charming location along the marina in Long Beach and average food does not, unfortunately, compensate for its very poor customer service.| customer service| negative
While this diner had reasonably good food, the restaurant staff seemed completely indifferent to our presence, and this attitude was reflected in the lack of service.| food| positive
While this diner had reasonably good food, the restaurant staff seemed completely indifferent to our presence, and this attitude was reflected in the lack of service.| restaurant staff| negative
As part of a small party of four, our food was dropped off without comment;| NULL| negative
any further needs we may have had could not have been met since no one stopped by the table.| NULL| negative
When we finally were able to flag someone down, it was someone entirely different from the person who had dropped off the food, who was also not the same person who had taken our order.| NULL| negative
After one member of our party had been bumped repeatedly by a waitress, a polite request that he not be bumped sent the waitress into an abusive rant.| waitress| negative
A brief conversation with the manager at the end of the meal was the greatest disappointment--to say we had been &quot;blown off&quot; would be an understatement.| manager| negative
The manager continually interrupted with &quot;Is there anything else I can do for you?&quot;, a strange comment because she had hardly listened, let alone responded to our expression of disappointment at our experience.| manager| negative
She promised to speak to the waitress who had flown off in a rage, but we could hardly take her promise seriously, seeing as she hadn&apos;t bothered to get the waitresses name.| NULL| negative
In short, Schooner or Later couldn&apos;t have cared less about our being at their establishment.| NULL| negative
Next time we will go somewhere else, or try other restaurants close by like Mimi&apos;s Cafe and Claim Jumper.| NULL| NULL
1 o&apos;clock in the morning.| NULL| NULL
you are with a hot date and he/she has an urge for sushi...then this might be the place.| sushi| positive
the fish was fresh, though it was cut very thin.| fish| positive
the fish was fresh, though it was cut very thin.| fish| negative
great service.| service| positive
good sake selection.| sake selection| positive
Dungeness crabs here!| Dungeness crabs| positive
– Ray&apos;s is THE place to go for high quality seafood dinners.| seafood dinners| positive
And they give good quantity for the price.| NULL| positive
And they give good quantity for the price.| NULL| neutral
We were only in Seattle for one night and I&apos;m so glad we picked Rays for dinner!| Rays| positive
I love Dungeness crabs and at Ray&apos;s you can get them served in about 6 different ways!| Dungeness crabs| positive
We shared the family platter and I especially enjoyed the black cod in sake kasu.| black cod in sake kasu| positive
I ended the meal with the unusual dessert of a port and chocolate tasting....yummy!| dessert of a port and chocolate tasting| positive
And the service was simply spendid - quite a delight.| service| positive
Great Breakfast| Breakfast| positive
– Great drinks , corn beef hash, coffee, B Fast burritos, Gluten Free menu.| drinks| positive
– Great drinks , corn beef hash, coffee, B Fast burritos, Gluten Free menu.| corn beef hash| positive
– Great drinks , corn beef hash, coffee, B Fast burritos, Gluten Free menu.| coffee| positive
– Great drinks , corn beef hash, coffee, B Fast burritos, Gluten Free menu.| B Fast burritos| positive
– Great drinks , corn beef hash, coffee, B Fast burritos, Gluten Free menu.| menu| positive
The service is fantastic at this fun place.| service| positive
The service is fantastic at this fun place.| place| positive
If there is a line very day of the week for the entire time a place is open, you know it is great.| place| positive
This is the case at this gem.| NULL| positive
Best Neighborhood Standby.| Standby| positive
You Can&apos;t Go Wrong Here.| NULL| positive
– Every neighborhood has a few great local bars that are the best secrets.| NULL| NULL
In Grammercy/Union Square/East Village this is my neighbors and my favorite spot.| spot| positive
The music is great, no night better or worse, the bar tenders are generous with the pouring, and the lighthearted atmosphere will lifts you spirits.| music| positive
The music is great, no night better or worse, the bar tenders are generous with the pouring, and the lighthearted atmosphere will lifts you spirits.| bar tenders| positive
The music is great, no night better or worse, the bar tenders are generous with the pouring, and the lighthearted atmosphere will lifts you spirits.| atmosphere| positive
Seriously, you can&apos;t go wrong, if it is unpretentious local fun you seek.| NULL| positive
Oh, and the cheese fries are awesome!| cheese fries| positive
