"id","text","aspectTerms__aspectTerm__term","aspectTerms__aspectTerm__polarity","aspectTerms__aspectTerm__from","aspectTerms__aspectTerm__to","aspectCategories__aspectCategory__category","aspectCategories__aspectCategory__polarity"
"1448","What a ripoff!","","","","","price","negative"
"1933","Threw my fiance's surprise 30th birthday dinner here couldn't be happier.","dinner","neutral","41","47","anecdotes/miscellaneous","positive"
"1661","You can do it here.","","","","","anecdotes/miscellaneous","neutral"
"1817","Food-awesome.","Food","positive","0","4","food","positive"
"2512","good music, great food, speedy service affordable prices.","music","positive","5","10","food","positive"
"","","food","positive","18","22","service","positive"
"","","service","positive","31","38","ambience","positive"
"","","prices","positive","50","56","price","positive"
"1749","There was a small wait, but shorter than I expected.","wait","conflict","18","22","anecdotes/miscellaneous","conflict"
"3441","The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.","lobster sandwich","conflict","4","20","price","negative"
"","","price","negative","94","99","food","conflict"
"3260","May, the owner always has a smile on her and will warmly greet you.","owner","positive","9","14","service","positive"
"2910","I've lived in NY for 5 years and this place has it all.","","","","","anecdotes/miscellaneous","positive"
"76","I just read Mocaramel's review and felt compelled to respond.","","","","","anecdotes/miscellaneous","neutral"
"1971","The sides were ok and incredibly salty.","sides","negative","4","9","food","negative"
"1286","It hits the spot every time","","","","","anecdotes/miscellaneous","positive"
"797","For some reason, all the seafood on the menu was unavailable except for the Salmon.","seafood","negative","25","32","food","negative"
"","","menu","negative","40","44","",""
"","","Salmon","neutral","76","82","",""
"2315","Not a large place, but it's cute and cozy.","place","conflict","12","17","ambience","conflict"
"344","Don't be fooled by crowds of people.","","","","","anecdotes/miscellaneous","negative"
"1990","and there's no way out.","","","","","anecdotes/miscellaneous","neutral"
"2900","The beverages were excellent, and the dessert was good.","beverages","positive","4","13","food","positive"
"","","dessert","positive","38","45","",""
"3122","The hostess and the waitress were incredibly rude and did everything they could to rush us out.","hostess","negative","4","11","service","negative"
"","","waitress","negative","20","28","",""
"719","Next time, we wouldn't dare ordering anything else other than some simple Asian appetizers and drinks.","Asian appetizers","positive","74","90","food","conflict"
"","","drinks","positive","95","101","",""
"3669","Please if your thinking about it go, and stay the wait you won't be disappointed.","wait","negative","50","54","anecdotes/miscellaneous","conflict"
"3295","I must say the view of NYC is so beautiful!","view","positive","15","19","ambience","positive"
"1130","If you'd like to have a nice light meal with an asian accent, Long Tan is a good place on the slope.","meal","positive","35","39","food","positive"
"2896","When going out for a nice dinner, I like a nice ambiance as well as very good food.","dinner","positive","26","32","anecdotes/miscellaneous","neutral"
"","","ambiance","positive","48","56","",""
"","","food","positive","78","82","",""
"2299","For all you lazy folks that don't want to come to Alphabet City, I say, good - stay out.","","","","","anecdotes/miscellaneous","neutral"
"1652","Otherwise, this place has great service and prices and a nice friendly atmosphere.","service","positive","32","39","service","positive"
"","","prices","positive","44","50","ambience","positive"
"","","atmosphere","positive","71","81","price","positive"
"2128","Highly recommend this as great value for excellent sushi and service.","sushi","positive","51","56","food","positive"
"","","service","positive","61","68","service","positive"
"","","value","positive","31","36","price","positive"
"2835","This place would be so much better served by being run by a group that actually understands customer service.","service","negative","101","108","service","negative"
"","","served","negative","35","41","",""
"778","A++   The service was good to excellent along with the attitude.","service","positive","10","17","service","positive"
"","","attitude","positive","55","63","",""
"3029","This is my fourth try over a two year period, and I'm done.","","","","","anecdotes/miscellaneous","negative"
"1672","The food is awesome - definitely try the striped bass.","food","positive","4","8","food","positive"
"","","striped bass","positive","41","53","",""
"1125","The music does get a little loud at times, but it just made me want to lean closer to my beautiful wife, and as I did, I got a whiff of corriander.","music","conflict","4","9","ambience","conflict"
"","","corriander","neutral","136","146","",""
"3694","black white shakes came out good also.","black white shakes","positive","0","18","food","positive"
"2721","It's simply the best meal in NYC.","meal","positive","21","25","anecdotes/miscellaneous","positive"
"884","Probably would not go again...","","","","","anecdotes/miscellaneous","negative"
"954","After passing by this restaurant for sometime I finally decided to go in and have dinner.","dinner","neutral","82","88","anecdotes/miscellaneous","neutral"
"2452","The seating was if they were trying to get the maximum amount of people into the restaurant, so be nice to your neighbor when you dine here.","seating","negative","4","11","ambience","negative"
"1250","I ordered the chu chu curry and my friend ordered the pad thai chicken.","chu chu curry","neutral","14","27","food","neutral"
"","","pad thai chicken","neutral","54","70","",""
"3234","We go on Mondays for the prix fixe and our experience with the food has been comparable to Blue Ribbon.","food","neutral","63","67","food","neutral"
"","","prix fixe","neutral","25","34","",""
"2494","Tuk Tuk is my second favorite neighborhood Thai place (the first being Joya).","","","","","anecdotes/miscellaneous","positive"
"1533","However, they've got the most amazing pastrami and the soups hit the spot.","pastrami","positive","38","46","food","positive"
"","","soups","positive","55","60","",""
"1055","Great bagels made the old-fashioned way.","bagels","positive","6","12","food","positive"
"1784","This is some really good, inexpensive sushi.","sushi","positive","38","43","food","positive"
"","","","","","","price","positive"
"2178","my personal favorite is an everything bagel with lox spread, but all the bagles are unbeliavably good.","bagel with lox spread","positive","38","59","food","positive"
"","","bagles","positive","73","79","",""
"1689","I wouldn't even have complained at all if the food at least tasted good but the quality of food was crappy, too.","food","negative","46","50","food","negative"
"","","quality of food","negative","80","95","",""
"771","For the next hour and a half we stood in the crowded lobby area of this touristy restaurant listening to all types of explanations of why we were not being seated.","lobby area","negative","53","63","service","negative"
"","","seated","negative","156","162","",""
"3370","The pizza is delicious and the proprietor is one of the nicest in NYC.","pizza","positive","4","9","food","positive"
"","","proprietor","positive","31","41","service","positive"
"823","Also good for client lunch meetings, esp.","lunch meetings","neutral","21","35","anecdotes/miscellaneous","positive"
"1988","For $600 ( the most we have ever paid) not even waving a magic wand will ever get us back for a repeat performance.","","","","","price","negative"
"3535","The decor is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices.","decor","positive","4","9","ambience","positive"
"","","prices","positive","104","110","price","positive"
"","","food's presentation","positive","48","67","food","positive"
"2449","The Waitstaff were very nice and suggested swordfish for my husband he enjoyed his meal.","Waitstaff","positive","4","13","food","positive"
"","","swordfish","positive","43","52","service","positive"
"","","meal","positive","83","87","",""
"993","The setting is casual and romantic.","setting","positive","4","11","ambience","positive"
"3598","IT WAS HORRIBLE.","","","","","anecdotes/miscellaneous","negative"
"2840","Terrible, terrible management - deserves to be shut-down.","management","negative","19","29","service","negative"
"1034","Great friendly service, Fast seating, Fast Delivery, Excellent sushi.","service","positive","15","22","food","positive"
"","","seating","positive","29","36","service","positive"
"","","Delivery","positive","43","51","",""
"","","sushi","positive","63","68","",""
"2709","The desserts are more appealing then stuffy overpriced French restaurants.","desserts","positive","4","12","food","positive"
"2734","The Italian food has flavor (that can be sort of surprising on the UES), and the service turns from a nightmare to attentive,they sort of remind me of the NY Yankees of the late 90's, no matter how bad it look, you knew that there was a rally just around the corner...","Italian food","positive","4","16","food","positive"
"","","service","conflict","81","88","service","conflict"
"174","As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.","","","","","service","conflict"
"3654","I found the food to be outstanding, particulary the salmon dish I had.","food","positive","12","16","food","positive"
"","","salmon dish","positive","52","63","",""
"1049","Mizu is home to creative and unique rolls not to found anywhere else.","rolls","positive","36","41","food","positive"
"2515","The New York Times has reviewed this place three times already, you know it's going to be good.","","","","","anecdotes/miscellaneous","positive"
"3320","Baluchi's has solid food and a nice decor at reasonable prices.","food","positive","20","24","food","positive"
"","","decor","positive","36","41","ambience","positive"
"","","prices","positive","56","62","price","positive"
"102","Emilio, the owner, is often sitting in the front table greeting guests as they come and go.","owner","positive","12","17","service","positive"
"2397","I have been to spice three times- twice during lunch and once at dinner.","lunch","neutral","47","52","anecdotes/miscellaneous","neutral"
"","","dinner","neutral","65","71","",""
"511","Moules were excellent, lobster ravioli was VERY salty!","Moules","positive","0","6","food","conflict"
"","","lobster ravioli","negative","23","38","",""
"1203","I came to this restaurant expecting to be surprised but left bored and overcharged.","","","","","anecdotes/miscellaneous","negative"
"","","","","","","price","negative"
"1077","A cheap eat for NYC, but not for dosa.","dosa","negative","33","37","price","conflict"
"","","eat","positive","8","11","",""
"133","The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.","atmosphere","negative","4","14","service","conflict"
"","","waiters","conflict","32","39","ambience","negative"
"3230","The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.","seafood","positive","4","11","food","positive"
"","","wine list","positive","39","48","",""
"","","menu","positive","72","76","",""
"2905","i don't usually order wine with indian so i can't comment on their wine list or their wines.","wine","neutral","22","26","food","neutral"
"","","indian","neutral","32","38","",""
"","","wine list","neutral","67","76","",""
"","","wines","neutral","86","91","",""
"491","Pastrami or corned beef are juicy and piled high (ask for extra rye bread).","Pastrami or corned beef","positive","0","23","food","positive"
"","","rye bread","positive","64","73","",""
"2001","($200 for 2 glasses of champagne, not too expensive bottle of wine and 2 after dinner drinks).","glasses of champagne","negative","12","32","price","negative"
"","","bottle of wine","negative","52","66","",""
"","","after dinner drinks","negative","73","92","",""
"1362","Really though, where's the seasoning?","seasoning","negative","27","36","food","negative"
"796","The food was just OK, at least for what food was available.","food","neutral","4","8","food","negative"
"","","food","negative","40","44","",""
"2733","by dinner time, they turn it around and mount a huge comeback!!","","","","","anecdotes/miscellaneous","positive"
"178","The waitress was very patient with us and the food is phenomenal!","waitress","positive","4","12","food","positive"
"","","food","positive","46","50","service","positive"
"2627","The ambience was nice, but service wasn't so great.","ambience","positive","4","12","service","negative"
"","","service","negative","27","34","ambience","positive"
"2946","Solid wine list, knowledgeable staff, friendly owners and an adventurous, ever-changing menu keep us coming back.","wine list","positive","6","15","food","positive"
"","","staff","positive","31","36","service","positive"
"","","owners","positive","47","53","",""
"","","menu","positive","88","92","",""
"554","The people that work there are always so friendly you forget you are in New York sometimes.","people","positive","4","10","service","positive"
"1616","We didn't even see a menu, as our waiter described both the specials and the main dishes.","menu","neutral","21","25","service","positive"
"","","main dishes","neutral","77","88","",""
"","","waiter","positive","34","40","",""
"","","specials","neutral","60","68","",""
"3189","The location and ambience is Ok but the food is what makes up for it.","location","neutral","4","12","food","positive"
"","","ambience","neutral","17","25","ambience","neutral"
"","","food","positive","40","44","",""
"3693","otherwise, good stuff for late nite eats.","stuff","positive","16","21","food","positive"
"","","eats","positive","36","40","",""
"1103","The dinner was ok, nothing I would have again.","dinner","negative","4","10","food","negative"
"1732","It is thick and slightly soggy.","","","","","food","negative"
"990","Its not the same if you have to sit inside.","","","","","ambience","neutral"
"1994","I love and I know gourmet food by excellence!","gourmet food","positive","18","30","food","positive"
"541","I plan to come here again and look forward to trying their assortment of bruschetta, panini's.....","bruschetta","positive","73","83","food","positive"
"","","panini","positive","85","91","anecdotes/miscellaneous","positive"
"229","Great people watching as others do the same to you.","","","","","ambience","positive"
"3542","Maybe it was just an unintentional mistake but I've experienced the same with other restaurants so I don't appreciate such practice.","","","","","anecdotes/miscellaneous","negative"
"1617","Two people in our party felt like something else, and Volare immediately obliged with two great dishes that were not in their regular menu.","dishes","positive","96","102","service","positive"
"","","menu","neutral","134","138","food","positive"
"3322","He offers subpar service and has no personality.","service","negative","17","24","service","negative"
"1022","The waitress remembers me and is very friendly, she knows what my regular is and that's the fried mini buns with the condensed milk and the assorted fruits on beancurd.","waitress","positive","4","12","service","positive"
"","","fried mini buns with the condensed milk and the assorted fruits on beancurd","positive","92","167","food","positive"
"751","I'm going back.","","","","","anecdotes/miscellaneous","positive"
"1711","Diner food at bistro prices is a bummer....","food","negative","6","10","price","negative"
"","","prices","negative","21","27","",""
"2179","My friends and I have been going here regularly for two years.","","","","","anecdotes/miscellaneous","neutral"
"1131","wow! how have i missed this one ,tried Long Tan last week for the first time and now know what the NY TIMES and many more in the neighborhood already knew.","","","","","anecdotes/miscellaneous","positive"
"2723","Go there on an empty stomach and leave feeling like a baby Veal Calf(ok bad joke), but you will see.","","","","","anecdotes/miscellaneous","positive"
"2012","While we thoroughly enjoyed the food, it was annoying to scream across the table for conversation.","food","positive","32","36","ambience","negative"
"","","","","","","food","positive"
"1684","Me and my girls will definitely go back.","","","","","anecdotes/miscellaneous","positive"
"3024","The first time the sushi was outstanding, the second time it was a little bland.","sushi","conflict","19","24","food","conflict"
"1622","The portions are large and the servers always surprise us with a different starter.","portions","positive","4","12","food","positive"
"","","servers","positive","31","38","service","positive"
"","","starter","positive","75","82","",""
"1059","delicious bagels, especially when right out of the oven.","bagels","positive","10","16","food","positive"
"2347","Ive passed by the spot tons of times always wanting to go in.","","","","","anecdotes/miscellaneous","neutral"
"3067","All the food was hot tasty.","food","positive","8","12","food","positive"
"530","Have been several times and it never dissapoints.","","","","","anecdotes/miscellaneous","positive"
"447","This is one great place to eat pizza more out but not a good place for take-out pizza.","pizza","positive","31","36","food","conflict"
"","","take-out pizza","negative","71","85","",""
"1592","Our server was very helpful and friendly.","server","positive","4","10","service","positive"
"3191","Try green curry with vegetables.","green curry with vegetables","positive","4","31","food","positive"
"3433","Would recommend this place as a good date spot if you don't want to drop a ton of cash.","","","","","anecdotes/miscellaneous","positive"
"","","","","","","price","positive"
"2134","While I'm not sure that this happens all the time-this is the kind of treatment that buys repeat business!","","","","","service","positive"
"2947","This place was not ALL THAT!","","","","","anecdotes/miscellaneous","negative"
"2770","First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.","place","negative","19","24","ambience","negative"
"1989","The second you walk through the heavy vault like door, with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime.","door","neutral","49","53","ambience","positive"
"","","","","","","service","positive"
"445","Much more reasonably priced too!","priced","positive","21","27","price","positive"
"653","If you venture off the island of Manhattan and can't seem to find a great Italian restaurant, drive to Corona.","","","","","anecdotes/miscellaneous","neutral"
"3278","The food was not very tasty, the portioins were tiny even for such a high quality restaurant.","food","negative","4","8","food","negative"
"","","portioins","negative","33","42","",""
"2789","My friend from Milan and myself were pleasantly surprised when we arrived and everyone spoke italian.","","","","","anecdotes/miscellaneous","positive"
"440","Others have to go to other restaurants and feel sad until they're eaten.","","","","","anecdotes/miscellaneous","neutral"
"1331","Why make a reservation if you aren't going to keep it?","reservation","negative","11","22","service","negative"
"2497","The Pad Thai is excellent here, as well.","Pad Thai","positive","4","12","food","positive"
"2705","Big and gawky on the outside.","","","","","ambience","negative"
"3105","I have been to Mary's many times and I like it.","","","","","anecdotes/miscellaneous","positive"
"1495","Searching to get out from the cold, freezing weather, we went into what we thought was a deli.","","","","","anecdotes/miscellaneous","negative"
"3039","I do not recommend lunch specials just because it tasts the same with other regular chinese restaurant.","lunch specials","negative","19","33","food","negative"
"75","HIGHLY RECOMMENDED!!!!!","","","","","anecdotes/miscellaneous","positive"
"2446","This is the best thing in Soho.","","","","","anecdotes/miscellaneous","positive"
"3429","Went here last night and had a pleasant experience.","","","","","anecdotes/miscellaneous","positive"
"3637","We parked on the block of Nina's the place looked nice, with people obviously enjoying their pizzas.","place","positive","37","42","anecdotes/miscellaneous","positive"
"","","pizzas","positive","93","99","food","positive"
"861","I came here with my boyfriend for our anniversary because it was highly recommended to him by a friend.","","","","","anecdotes/miscellaneous","neutral"
"2000","For $760 for 2 people, it's a once in a lifetime experience.","","","","","price","negative"
"1316","The food is o.k., but not any better than what you get at a good neighborhood restaurant.","food","neutral","4","8","food","neutral"
"2450","We had the pot-stickers which were great and a tempura dish that was great.","pot-stickers","positive","11","23","food","positive"
"","","tempura dish","positive","47","59","",""
"1577","I think the stuff was better than Disney.","stuff","positive","12","17","service","positive"
"3538","After reading the good reviews of this restaurant, I decided to give it a try with two friends.","","","","","anecdotes/miscellaneous","neutral"
"2901","While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.","food","negative","97","101","anecdotes/miscellaneous","negative"
"","","atmosphere","positive","154","164","ambience","positive"
"","","entree range","positive","14","26","price","positive"
"","","","","","","food","negative"
"908","Orsay, is without a doubt one of the best values for authentic French food in NYC.","French food","positive","63","74","food","positive"
"1790","I had been searching really hard for a restaurant in New York where I could really feel unwanted and ignored and I finally found it!","","","","","service","negative"
"150","It's definately not a place to go if you want to impress someone.","","","","","anecdotes/miscellaneous","negative"
"2523","Well, their deliveries take for ever and the food is usually cold.","deliveries","negative","12","22","food","negative"
"","","food","negative","45","49","service","negative"
"2170","The staff is no nonsense.","staff","positive","4","9","service","positive"
"1012","Chinese Desserts are known for healthful benefits in addition to the sweetness.","","","","","food","positive"
"1626","Wonderful at holiday time.","","","","","anecdotes/miscellaneous","positive"
"1579","And really large portions.","portions","positive","17","25","food","positive"
"1567","The place is a lot of fun.","","","","","anecdotes/miscellaneous","positive"
"3515","This is a great Thai restaurant with a very friendly staff.","staff","positive","53","58","anecdotes/miscellaneous","positive"
"","","","","","","service","positive"
"1698","Have eaten at Ginger House several times, and it's always good.","","","","","anecdotes/miscellaneous","positive"
"1873","I ordered the smoked salmon and roe appetizer and it was off flavor.","smoked salmon and roe appetizer","negative","14","45","food","negative"
"2592","We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food.","lunch","neutral","17","22","food","positive"
"","","food","positive","100","104","",""
"3081","I recommend the garlic shrimp, okra (bindi), and anything with lamb.","garlic shrimp","positive","16","29","food","positive"
"","","lamb","positive","63","67","",""
"","","okra (bindi)","positive","31","43","",""
"2806","As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.","","","","","anecdotes/miscellaneous","positive"
"3142","To give you an idea of how good we thought it was, we ended up going to Ping's three weekends in a row!!!","","","","","anecdotes/miscellaneous","positive"
"3575","As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry.","waiter","neutral","68","74","anecdotes/miscellaneous","neutral"
"1884","The menu was impressive with selections ranging from a burger, to steak, to escargot.","menu","positive","4","8","food","positive"
"","","burger","neutral","55","61","",""
"","","steak","neutral","66","71","",""
"","","escargot","neutral","76","84","",""
"3381","In fact, two people could really share one plate.","plate","positive","43","48","food","positive"
"2507","The food is great and authentic.","food","positive","4","8","food","positive"
"745","This was a repeat visit and we'll definitely be back again.","","","","","anecdotes/miscellaneous","positive"
"3100","during happy hour!","","","","","anecdotes/miscellaneous","neutral"
"2802","Good for casual dinner with jeans and sneakers.","casual dinner","positive","9","22","anecdotes/miscellaneous","positive"
"1769","Love YUKA.","","","","","anecdotes/miscellaneous","positive"
"201","Anyway, the food is good, the price is right and they have a decent wine list.","food","positive","12","16","food","positive"
"","","price","positive","30","35","price","positive"
"","","wine list","positive","68","77","",""
"1180","Go, go, hurry, before everyone finds out about it.","","","","","anecdotes/miscellaneous","positive"
"2335","Prices are higher to dine in and their chicken tikka marsala is quite good.","Prices","negative","0","6","food","positive"
"","","chicken tikka marsala","positive","39","60","price","negative"
"1593","I am bringing my whole family back next time.","","","","","anecdotes/miscellaneous","positive"
"3631","This place has many different styles of pizza and they are all amazing.","styles of pizza","positive","30","45","food","positive"
"901","The photos of the restaurant in its web site are way better than the real look.","look","negative","74","78","ambience","negative"
"3049","The food was lousy - too sweet or too salty and the portions tiny.","food","negative","4","8","food","negative"
"","","portions","negative","52","60","",""
"1242","But the coconut rice was good.","coconut rice","positive","8","20","food","positive"
"932","It took them 25 minutes to bring our appetizer.","appetizer","neutral","37","46","service","negative"
"2769","A guaranteeed delight!","","","","","anecdotes/miscellaneous","positive"
"1105","I have been coming to this neighborhood spot for years.","","","","","anecdotes/miscellaneous","neutral"
"2609","Overall I would recommend it and go back again.","","","","","anecdotes/miscellaneous","positive"
"776","The food was great.","food","positive","4","8","food","positive"
"272","Pair you food with the excellent beers on tap or their well priced wine list.","food","neutral","9","13","food","positive"
"","","beers on tap","positive","33","45","price","positive"
"","","wine list","positive","67","76","",""
"","","priced","positive","60","66","",""
"1152","If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.","music","negative","17","22","ambience","negative"
"","","bottle minimun","negative","105","119","price","negative"
"2894","All of my co-workers stated that the food was amazing and wondered why they hadn't heard about this place.","food","positive","37","41","food","positive"
"2591","Anyway, this is the last time I cross the williamsburg.","","","","","anecdotes/miscellaneous","negative"
"833","Metrazur has a beautiful spot overlooking the main terminal.","spot","positive","25","29","ambience","positive"
"461","Friendly staff that actually lets you enjoy your meal and the company you're with.","staff","positive","9","14","service","positive"
"","","meal","positive","49","53","",""
"2830","When I'm feeling stressed by the noise and congestion around my office, I head for Cafe St. Bart's.","","","","","anecdotes/miscellaneous","neutral"
"1356","Guess the 555Soul ads didn't launch her big modeling career.","","","","","anecdotes/miscellaneous","neutral"
"539","The restaurant is rather small but we were lucky to get a table quickly.","table","positive","58","63","service","positive"
"","","","","","","ambience","negative"
"836","Besides, we were on vacation!","","","","","anecdotes/miscellaneous","neutral"
"2533","I love this cozy around the way Rest.","","","","","ambience","positive"
"1435","Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.","Quality of food","positive","0","15","food","positive"
"","","price","positive","33","38","price","positive"
"","","pork","positive","58","62","",""
"","","fish","positive","64","68","",""
"","","chicken","positive","70","77","",""
"","","lamb","positive","79","83","",""
"","","vegetables","positive","88","98","",""
"3208","Don't leave without trying One Night in Tokyo.","","","","","anecdotes/miscellaneous","positive"
"3126","Save yourself the time and trouble and skip this one!","","","","","anecdotes/miscellaneous","negative"
"1455","This is my favorite Italian restaurant in all of New York City.","","","","","anecdotes/miscellaneous","positive"
"2225","The place is a little tight and on a cold day, the seating by the entranceway can be pretty drafty.","seating","negative","51","58","ambience","negative"
"","","place","negative","4","9","",""
"1056","The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).","appetizing","positive","4","14","food","positive"
"","","price","positive","87","92","price","positive"
"3582","But, they were too big for the bun.","bun","neutral","31","34","food","negative"
"2708","The food is fresh, delicious, and reasonably priced.","food","positive","4","8","food","positive"
"","","priced","positive","45","51","price","positive"
"275","Raga stands out with an interesting fusion of French and Indian cooking.","fusion of French and Indian cooking","positive","36","71","food","positive"
"2105","A few tips: skip the turnip cake, roast pork buns and egg custards.","turnip cake","negative","21","32","food","negative"
"","","roast pork buns","negative","34","49","",""
"","","egg custards","negative","54","66","",""
"2152","The bagels are fabulous.","bagels","positive","4","10","food","positive"
"191","Oh yes, and they lie on the phone, claiming they have seating in the garden, then of course the seats are not available.","seating in the garden","neutral","54","75","service","negative"
"","","seats","neutral","96","101","",""
"3319","Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.","service","positive","77","84","service","positive"
"","","place","positive","123","128","ambience","positive"
"","","water","neutral","42","47","",""
"3681","The food was very good, a great deal, and the place its self was great.","food","positive","4","8","food","positive"
"","","place","positive","46","51","ambience","positive"
"","","","","","","price","positive"
"2171","The food options rule.","food options","positive","4","16","food","positive"
"3462","A great choice at any cost and a great deal.","cost","positive","22","26","anecdotes/miscellaneous","positive"
"","","","","","","price","positive"
"1087","Anybody who likes this place must be from a different planet, where greasy, dry and tasteless are complimentary.","","","","","food","negative"
"1865","We ate here in March, 2006 and ordered the pre-theatre 3-course dinner with wine flight.","pre-theatre 3-course dinner","neutral","43","70","food","neutral"
"","","wine flight","neutral","76","87","",""
"1380","Definately check it out!!!","","","","","anecdotes/miscellaneous","positive"
"3421","Probably much busier for lunch, it's seldom crowded for dinner (too close to downtown).","lunch","neutral","25","30","ambience","neutral"
"","","dinner","neutral","56","62","",""
"1293","Their calzones are horrific, bad, vomit-inducing, YUCK.","calzones","negative","6","14","food","negative"
"3475","It takes forever to get a drink and they almost always forget to bring something (although they dont forget to charge you for it.","drink","neutral","26","31","service","negative"
"818","The place itself is beautiful the bar scene seems to be happening.","place","positive","4","9","ambience","positive"
"","","bar scene","positive","34","43","",""
"2893","Saturday, Nov. 6th I had a group from work come in with about 35 people and the staff was amazing to accomodate us.","staff","positive","80","85","service","positive"
"3170","Good spreads, great beverage selections and bagels really tasty.","spreads","positive","5","12","food","positive"
"","","beverage selections","positive","20","39","",""
"","","bagels","positive","44","50","",""
"2932","First, the waiter who served us neglected to fill us in on the specials, which I would have chosen had I known about them.","waiter","negative","11","17","service","negative"
"","","specials","positive","63","71","",""
"","","served","negative","22","28","",""
"2575","We will be back.","","","","","anecdotes/miscellaneous","positive"
"451","Also, top the meal with a delicious and perfect slice of tiramisu.","tiramisu","positive","57","65","food","positive"
"","","meal","neutral","14","18","",""
"3700","It seems like this is a place the locals like and the people working here liked it too.","","","","","anecdotes/miscellaneous","positive"
"119","Check out the secret back room.","secret back room","positive","14","30","ambience","positive"
"2817","It's also attached to Angel's Share, which is a cool, more romantic bar...","bar","positive","68","71","ambience","positive"
"2517","Authentic food and they have REAL service, not just the rush you get sometimes when they try to push you out the door.","food","positive","10","14","food","positive"
"","","service","positive","34","41","service","positive"
"2883","Stick to the gulab jamun.","gulab jamun","positive","13","24","food","positive"
"556","I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list.","prices","positive","113","119","food","positive"
"","","atmosphere","positive","127","137","service","positive"
"","","service","positive","144","151","ambience","positive"
"","","wine list","positive","168","177","price","positive"
"563","I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.","diner","neutral","28","33","service","negative"
"","","wait staff","negative","61","71","ambience","negative"
"","","table","negative","41","46","",""
"924","With the theater 2 blocks away we had a delicious meal in a beautiful room.","meal","positive","50","54","food","positive"
"","","room","positive","70","74","ambience","positive"
"3113","I was a little leary about Mary's at first - it's small, crowded and you usually have to wait on line - but I'm glad I finally tried it.","","","","","ambience","negative"
"","","","","","","anecdotes/miscellaneous","positive"
"2164","We were not dissappointed in the least bit by this little gem.","","","","","anecdotes/miscellaneous","positive"
"3461","Also very inexpensive.","","","","","price","positive"
"3041","We've only eaten in the restaurant once, but we have ordered many times for dinner.","dinner","neutral","76","82","anecdotes/miscellaneous","neutral"
"2459","I got enough reasons to keep coming back!!!","","","","","anecdotes/miscellaneous","positive"
"1013","By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.","pig feet ginger simmered in black vinegar","positive","172","213","food","positive"
"","","desserts with frog jelly","positive","118","142","",""
"193","The food is great and reasonably priced.","food","positive","4","8","food","positive"
"","","priced","positive","33","39","price","positive"
"1569","The characters really make for an enjoyable experience.","","","","","ambience","positive"
"2217","I would definitely recommend SEA if you like thai cuisine!","thai cuisine","positive","45","57","food","positive"
"78","Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.","crew","positive","43","47","service","positive"
"","","host","positive","19","23","",""
"2280","The restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese.","round tables","positive","62","74","ambience","conflict"
"","","Taiwanese","positive","141","150","price","positive"
"","","","","","","food","positive"
"3424","My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.","portion","conflict","52","59","food","conflict"
"","","french fries","positive","103","115","",""
"3641","You cannot go wrong with this place.","","","","","anecdotes/miscellaneous","positive"
"1707","It is the type of place to run into old friends and have a late, raucus dinner.","dinner","positive","72","78","anecdotes/miscellaneous","positive"
"2766","The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.","food","positive","4","8","food","positive"
"","","dishes","positive","72","78","",""
"","","specials","positive","33","41","",""
"","","regular menu-fare","positive","49","66","",""
"667","Prices are in line.","Prices","neutral","0","6","price","neutral"
"1600","The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.","fresh tomato sauce","positive","19","37","food","positive"
"","","fresh mozz cheese","positive","39","56","",""
"","","basil","positive","58","63","",""
"","","dough","positive","72","77","",""
"","","pizza","positive","141","146","",""
"","","flour","positive","102","107","",""
